channel,channel_id,subscribers,monthly_views,est_monthly_revenue_usd,total_videos,avg_length_min,is_ai,monetized,started,launched_after_isbb_went_dark
Nebula Prophecy,UCWQVu0eZccFkw3cwcJbUqJA,112000,9888496,36738,7,18,yes,yes,2025-09,no
American Wilderness Survival,UCJ0YXKiSf5ElD_Vd-euwI3Q,2490,395565,,28,22,yes,no,2026-05,yes
Open Water Stories,,9120,305954,,50,13,no,no,2025-12,yes
Survival Instinct,UCfc6Zmh1G-AuF7u6Q6L04Fg,22500,214109,1273,160,44,no,yes,2025-02,no
Survival Untold Tales,,1600,191456,806,108,10,yes,yes,2026-03,yes
Cave Stories,UCD8sqMh84LSMW9QeK0sEvbg,38500,132258,577,101,18,yes,yes,2024-06,no
Extreme Survival Stories,UCq_e7utqXqmxS2nmeLNWoew,27400,102024,,88,13,no,no,2025-01,no
Outlived,UCeAnRyvz69rJFR6bgCKhLJw,11800,89708,,22,26,yes,no,2025-12,yes
Bluewater Films AI,,1030,59690,,8,13,yes,no,2025-11,yes
Our Silent Ancestors,,3280,33819,134,25,9,yes,yes,2025-12,yes
Solus AI Cinema,,30200,26089,,15,50,yes,no,2025-12,yes
Survival Casefiles,,2170,22933,94,18,13,no,yes,2025-11,yes
Human Survival Files,,927,22282,,24,21,yes,no,2025-07,no
Human Survival Protocol,UCazWtm0iDc5ge8Ft-FfBCYQ,5490,18304,,39,36,yes,no,2025-12,yes
AI Short Movie,,2420,3242,,51,11,yes,no,2025-01,no
How They Survived,,3580,1851,5,15,21,no,yes,2025-10,no
Survival Girl Kora,,6380,1600,,7,16,yes,no,2025-11,yes
Guardian Tails,,4680,499,,28,12,yes,no,2025-09,no
Silent Disasters,,306,24,,12,8,yes,no,2025-11,yes
I Shouldn't Be Breathing,UC32sYwQShrWUUo-MRwa72vA,124,0,,9,9,yes,no,2025-09,n/a
